Unnamed: 0,Titre,Entrées,best_match,movie_boxoffice,movie_budget,movie_cast,movie_categories,movie_countries,movie_director,movie_id,movie_imdb_metascore,movie_imdb_nb_of_ratings,movie_imdb_popularity,movie_imdb_rating,movie_length,movie_original_title,movie_poster,movie_production_companies,movie_synopsis,movie_title,movie_url,movie_us_boxoffice,release_date,year
168,2 John Wick : Chapitre 4 Metropolitan Filmexport Bande-Annonce,411 048,,,,,,,,,,,,,,,,,,,,,,
169,10 De Grandes Espérances The Jokers / Les Bookmakers Bande-Annonce,82 734,,,,,,,,,,,,,,,,,,,,,,
170,5 La Chambre Des Merveilles Snd Bande-Annonce,298 308,,,,,,,,,,,,,,,,,,,,,,
171,6 Sage-Homme Warner Bros. France Bande-Annonce,279 606,,,,,,,,,,,,,,,,,,,,,,
172,8 65 - La Terre D'Avant Sony Pictures Releasing France Bande-Annonce,187 043,,,,,,,,,,,,,,,,,,,,,,
173,2 Scream Vi Paramount Pictures France Bande-Annonce,464 821,,,,,,,,,,,,,,,,,,,,,,
174,3 Mon Crime Gaumont Distribution Bande-Annonce,427 391,,,,,,,,,,,,,,,,,,,,,,
175,1 Creed Iii Warner Bros. France Bande-Annonce,1 105 921,,,,,,,,,,,,,,,,,,,,,,
176,3 Les Petites Victoires Zinc Film Bande-Annonce,250 360,,,,,,,,,,,,,,,,,,,,,,
177,6 La Syndicaliste Le Pacte Bande-Annonce,192 422,,,,,,,,,,,,,,,,,,,,,,
178,8 Empire Of Light The Walt Disney Company France Bande-Annonce,107 051,,,,,,,,,,,,,,,,,,,,,,
179,9 The Son Orange Studio Distribution / Ugc Distribution Bande-Annonce,102 272,,,,,,,,,,,,,,,,,,,,,,
180,4 The Fabelmans Universal Pictures International France Bande-Annonce,367 332,,,,,,,,,,,,,,,,,,,,,,
181,5 Les Choses Simples Snd Bande-Annonce,222 130,,,,,,,,,,,,,,,,,,,,,,
182,10 Demon Slayer : Kimetsu No Yaiba - En Route Pour Le Village Des Forgerons Cgr Events Bande-Annonce,109 154,,,,,,,,,,,,,,,,,,,,,,
183,3 Ant-Man Et La Guêpe : Quantumania The Walt Disney Company France Bande-Annonce,735 356,,,,,,,,,,,,,,,,,,,,,,
184,4 Un Homme Heureux Gaumont Distribution Le Teaser,233 008,,,,,,,,,,,,,,,,,,,,,,
185,10 La Femme De Tchaïkovski Bac Films Bande-Annonce,79 463,,,,,,,,,,,,,,,,,,,,,,
186,5 Sacrées Momies Warner Bros. France Bande-Annonce,168 937,,,,,,,,,,,,,,,,,,,,,,
187,"8 Zodi Et Téhu, Frères Du Désert Snd Bande-Annonce",84 934,,,,,,,,,,,,,,,,,,,,,,
188,10 Les Têtes Givrées Ugc Distribution / Tf1 Studio Bande-Annonce,61 469,,,,,,,,,,,,,,,,,,,,,,
189,1 Astérix Et Obélix : L'Empire Du Milieu Pathé Bande-Annonce,1 882 686,,,,,,,,,,,,,,,,,,,,,,
190,4 Knock At The Cabin Universal Pictures International France Bande-Annonce,109 685,,,,,,,,,,,,,,,,,,,,,,
191,8 Alibi.Com 2 Studiocanal Bande-Annonce,81 100,,,,,,,,,,,,,,,,,,,,,,
192,3 Pattie Et La Colère De Poséidon Apollo Films Bande-Annonce,210 409,,,,,,,,,,,,,,,,,,,,,,
193,4 Mayday Metropolitan Filmexport Bande-Annonce,160 006,,,,,,,,,,,,,,,,,,,,,,
194,7 Tár Universal Pictures International France Bande-Annonce,98 869,,,,,,,,,,,,,,,,,,,,,,
195,9 Divertimento Le Pacte Bande-Annonce,80 541,,,,,,,,,,,,,,,,,,,,,,
196,2 Babylon Paramount Pictures France Bande-Annonce,508 796,,,,,,,,,,,,,,,,,,,,,,
197,3 La Guerre Des Lulus Wild Bunch Distribution Bande-Annonce,200 047,,,,,,,,,,,,,,,,,,,,,,
198,6 Le Clan Pan Distribution Bande-Annonce,101 291,,,,,,,,,,,,,,,,,,,,,,
